stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
3377704015496201,MNLP_**_09SOR|SOULR,Soulet,45.7763,3.10855,0,1970329131942189
3377704015496204,MNLP_**_03SPA|MNLP_**_12SPR|MNLP_**_27SPA|SPORA,Les Sports,45.7349,3.10296,0,1970329131941950
3377704015496213,MNLP_**_04STA|STMUA,Stade P. Marcombes,45.7614,3.08213,0,1970329131942038
3377704015496205,MNLP_**_03SPR|MNLP_**_12SPA|MNLP_**_27SPR|SPORR,Les Sports,45.7349,3.10259,0,1970329131941950
3377704015496206,MNLP_**_03SJR|MNLP_**_08SJA|STJAA,St Jacques,45.7573,3.09695,0,1970329131941981
3377704015496209,MNLP_**_03SMA|MNLP_**_12SMR|STMAR,St Martin,45.7502,3.12078,0,1970329131941983
3377704015496210,MNLP_**_A2SMA|MNLP_**_A_SMA|STMMA,Stade M. Michelin,45.7878,3.10634,0,1970329131942444
3377704015496211,MNLP_**_B_SMA|MNLP_**_B_SMR|STMMB,Stade M. Michelin,45.7877,3.10643,0,1970329131942444
3377704015496212,MNLP_**_A_SMR|STMMR,Stade M. Michelin,45.7877,3.10641,0,1970329131942444
3377704015496214,MNLP_**_08STA|STMUB,Stade P. Marcombes,45.7618,3.08329,0,1970329131942038
3377704015496215,MNLP_**_04STR|MNLP_**_08STR|STMUR,Stade P. Marcombes,45.7608,3.08207,0,1970329131942038
3377704015496216,MNLP_**_07SRA|STRAA,St Rames,45.773,3.10231,0,1970329131942148
3377704015496217,MNLP_**_07SRR|STRAR,St Rames,45.7729,3.10241,0,1970329131942148
3377704015496218,MNLP_**_04SUA|MNLP_**_09SUR|SULLA,Sully,45.7925,3.07396,0,1970329131942039
3377704015496219,MNLP_**_04SUR|MNLP_**_09SUA|SULLR,Sully,45.7925,3.07426,0,1970329131942039
3377704015496220,MNLP_**_05TAR|MNLP_**_10TAA|TAMAA,Tamaris,45.7889,3.06284,0,1970329131942040
3377704015496221,MNLP_**_04TAA|MNLP_**_04TAR|MNLP_**_05TAA|MNLP_**_10TAR|MNLP_**_C_TAR|TAMAR,Tamaris,45.7883,3.06296,0,1970329131942040
3377704015496222,MNLP_**_05TER|MNLP_**_13TCA|TECHA,Teilhard de Chardin,45.776,3.06135,0,1970329131942073
3377704015496223,MNLP_**_05TEA|MNLP_**_13TCR|TECHR,Teilhard de Chardin,45.7756,3.06257,0,1970329131942073
3377704015496224,MNLP_**_27TEA|TEYTA,Les Teytos,45.7249,3.08549,0,1970329131942337
3377704015496228,MNLP_**_08THR|THEUR,Theuriet,45.7664,3.0781,0,1970329131942163
3377704015496229,MNLP_**_08TOA|THOMA,Poncillon,45.762,3.08534,0,1970329131942164
3377704015496225,MNLP_**_05THA|MNLP_**_B_THA|THERA,Thermes,45.7701,3.05814,0,1970329131942074
3377704015496234,MNLP_**_07TIR|TILNR,Tillon,45.7749,3.12724,0,1970329131942149
3377704015496226,MNLP_**_05THR|MNLP_**_B_THR|THERR,Thermes,45.7699,3.0581,0,1970329131942074
3377704015496227,MNLP_**_08THA|THEUA,Theuriet,45.7663,3.07817,0,1970329131942163
3377704015496230,MNLP_**_04TTA|THTHA,Thévenot Thibaud,45.7885,3.08993,0,1970329131942041
3377704015496231,MNLP_**_04TTR|THTHR,Thévenot Thibaud,45.7884,3.08998,0,1970329131942041
3377704015496237,MNLP_**_12TOR|MNLP_**_27TOR|TOCQR,Tocqueville,45.7345,3.09861,0,1970329131942237
3377704015496233,MNLP_**_27TIR|TILLR,Tilleuls,45.7253,3.08817,0,1970329131942349
3377704015496232,MNLP_**_27TIA|TILLA,Tilleuls,45.7253,3.08818,0,1970329131942349
3377704015496235,MNLP_**_12TOA|MNLP_**_27TCA|TOCQA,Tocqueville,45.7334,3.09831,0,1970329131942237
3377704015496242,MNLP_**_05TRR|MNLP_**_10TVA|TRAVA,Traversin,45.7835,3.06323,0,1970329131942130
3377704015496236,MNLP_**_27TCA|MNLP_**_27TOA|TOCQB,Tocqueville,45.733,3.09795,0,1970329131942237
3377704015496248,MNLP_**_20TXR|TRIOR,Trioux,45.8022,3.1172,0,1970329131942293
3377704015496249,MNLP_**_22TRA|MNLP_**_90TRA|MNLP_**_C_TRA|TROEA,Troènes,45.7375,3.17549,0,1970329131942131
3377704015496243,MNLP_**_05TRA|MNLP_**_10TVR|TRAVR,Traversin,45.7833,3.06314,0,1970329131942130
3377704015496244,MNLP_**_04TRA|MNLP_**_04TRR|MNLP_**_09TCR|MNLP_**_09TRA|MNLP_**_09TRR|TRCHR,Trémonteix Charcot,45.7926,3.07094,0,1970329131942042
3377704015496247,MNLP_**_20TXA|TRIOA,Trioux,45.8024,3.11717,0,1970329131942293
3377704015496254,MNLP_**_03UNA|MNLP_**_50UNA|MNLP_**_A1UNA|UNIVB,Universités,45.7713,3.08894,0,1970329131941985
3377704015496255,MNLP_**_A_UNR|UNIVR,Universités,45.7712,3.08894,0,1970329131941985
3377704015496250,MNLP_**_22TRR|MNLP_**_90TRR|MNLP_**_C_TRR|TROER,Troènes,45.7374,3.17564,0,1970329131942131
3377704015496251,MNLP_**_09REA|MNLP_**_10TRA|MNLP_**_10TRR|MNLP_**_28TRA|MNLP_**_28TRR|TRREA,Trois Résistants,45.7937,3.0774,0,1970329131942190
3377704015496260,MNLP_**_A_VEA|VEGNA,Les Vergnes,45.8128,3.1276,0,1970329131941951
3377704015496252,MNLP_**_09RER|TRRER,Trois Résistants,45.7936,3.07736,0,1970329131942190
3377704015496253,MNLP_**_A_UNA|UNIVA,Universités,45.7712,3.08894,0,1970329131941985
3377704015496256,MNLP_**_03UNR|MNLP_**_50UVA|MNLP_**_A1UNR|UNIVS,Universités,45.7712,3.08851,0,1970329131941985
3377704015496257,MNLP_**_08VAA|MNLP_**_08VAR|VALLR,Vallières,45.7593,3.08403,0,1970329131942165
3377704015496258,MNLP_**_34VCA|VECAA,Verger du Caire,45.7181,3.18667,0,1970329131942388
